epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
58,2133.15,0.42749,0.60176,0.28142,0.85012,0.94174,0.90415,0.96052,0.83684,0.94255,0.90143,0.9564,0.80143,0.54845,0.8739,0.33043,0.8977,0.00968592,0.00968592,0.00968592
59,2169.92,0.42635,0.59851,0.27994,0.84973,0.94277,0.90208,0.95935,0.83739,0.94388,0.90042,0.95607,0.80061,0.54824,0.87356,0.32922,0.89438,0.00967493,0.00967493,0.00967493
60,2206.73,0.42357,0.59411,0.27898,0.84975,0.94496,0.90261,0.96017,0.8378,0.94424,0.90069,0.95595,0.80099,0.54769,0.87355,0.32983,0.89323,0.00966375,0.00966375,0.00966375
61,2243.49,0.42217,0.58808,0.27771,0.84848,0.94525,0.9019,0.96096,0.83837,0.94576,0.8998,0.9565,0.79893,0.54229,0.85449,0.32515,0.89033,0.00965239,0.00965239,0.00965239
62,2280.23,0.42019,0.59089,0.27701,0.84897,0.94586,0.90151,0.95942,0.83797,0.94534,0.89976,0.95574,0.79912,0.54496,0.8635,0.32637,0.89323,0.00964085,0.00964085,0.00964085
63,2316.77,0.4195,0.59062,0.27657,0.85022,0.94793,0.90065,0.96021,0.83916,0.94773,0.89796,0.95627,0.80178,0.54777,0.87969,0.32816,0.8993,0.00962913,0.00962913,0.00962913
64,2353.3,0.42261,0.59895,0.27803,0.849,0.94177,0.90649,0.96112,0.84018,0.94315,0.90196,0.9569,0.80325,0.54164,0.85716,0.3227,0.89118,0.00961723,0.00961723,0.00961723
65,2389.66,0.42071,0.59244,0.27595,0.8488,0.95112,0.89938,0.96039,0.84055,0.9499,0.89822,0.95652,0.80065,0.54407,0.86853,0.32255,0.89306,0.00960515,0.00960515,0.00960515
66,2426.4,0.41501,0.57957,0.27396,0.84707,0.94463,0.90477,0.96052,0.83853,0.94501,0.90225,0.95666,0.80218,0.54376,0.86452,0.32387,0.8906,0.00959289,0.00959289,0.00959289
67,2463.01,0.41564,0.59013,0.27426,0.84802,0.94373,0.90537,0.96155,0.84099,0.94458,0.90169,0.95775,0.80185,0.54064,0.85527,0.32226,0.89219,0.00958044,0.00958044,0.00958044
68,2499.65,0.41423,0.58239,0.27284,0.84807,0.94629,0.90454,0.96211,0.8418,0.94586,0.90326,0.95838,0.80179,0.53999,0.85271,0.32131,0.89322,0.00956782,0.00956782,0.00956782
69,2536.28,0.41421,0.58568,0.2731,0.84676,0.94387,0.90723,0.96238,0.84182,0.94324,0.90551,0.95816,0.80338,0.53991,0.85212,0.31808,0.88985,0.00955502,0.00955502,0.00955502
70,2573.04,0.41256,0.58209,0.27243,0.84648,0.9458,0.90341,0.96146,0.8419,0.94526,0.90095,0.95726,0.8044,0.54025,0.85745,0.31991,0.8895,0.00954205,0.00954205,0.00954205
71,2609.67,0.41278,0.57909,0.27185,0.84492,0.94267,0.90726,0.96165,0.84232,0.9505,0.89726,0.95773,0.80377,0.53947,0.85301,0.31953,0.8886,0.00952889,0.00952889,0.00952889
72,2646.42,0.41058,0.57689,0.27022,0.84531,0.94204,0.90919,0.96165,0.84079,0.94123,0.9073,0.95718,0.80376,0.54042,0.85517,0.31789,0.89197,0.00951556,0.00951556,0.00951556
73,2682.91,0.40667,0.57544,0.26847,0.84607,0.94792,0.90394,0.96186,0.84348,0.94885,0.90178,0.95805,0.80429,0.53676,0.84538,0.31547,0.88943,0.00950206,0.00950206,0.00950206
74,2719.82,0.40813,0.57815,0.26912,0.84622,0.94314,0.90765,0.96241,0.84346,0.94158,0.90682,0.95821,0.80456,0.53909,0.84969,0.31761,0.89119,0.00948837,0.00948837,0.00948837
75,2756.52,0.40111,0.56553,0.26522,0.84347,0.94755,0.90184,0.9618,0.84179,0.94618,0.90001,0.95708,0.80266,0.53823,0.84918,0.31722,0.88825,0.00947452,0.00947452,0.00947452
76,2793.24,0.40333,0.56782,0.26679,0.84456,0.94003,0.90753,0.96164,0.8417,0.94124,0.90405,0.95728,0.80284,0.53919,0.84781,0.31651,0.89237,0.00946048,0.00946048,0.00946048
77,2830.19,0.40255,0.5678,0.26638,0.84297,0.94503,0.90562,0.96197,0.84218,0.94431,0.90277,0.95727,0.8037,0.5385,0.85354,0.3178,0.88908,0.00944628,0.00944628,0.00944628
78,2866.82,0.40251,0.56982,0.26617,0.84512,0.94673,0.90569,0.96208,0.84319,0.94712,0.90134,0.95723,0.80458,0.53987,0.85625,0.31596,0.89286,0.00943189,0.00943189,0.00943189
79,2903.28,0.40403,0.56889,0.26633,0.84585,0.94874,0.90646,0.96255,0.84479,0.94841,0.90364,0.95804,0.80597,0.53602,0.84295,0.31308,0.88882,0.00941734,0.00941734,0.00941734
80,2939.95,0.40227,0.5679,0.26565,0.84413,0.94694,0.9078,0.96217,0.84431,0.9467,0.90669,0.95809,0.80552,0.53702,0.84645,0.31261,0.88942,0.00940262,0.00940262,0.00940262
81,2976.4,0.3994,0.56163,0.26416,0.84479,0.94842,0.90548,0.96247,0.84425,0.9491,0.90258,0.95815,0.80463,0.53673,0.84705,0.31247,0.88828,0.00938772,0.00938772,0.00938772
82,3013.45,0.39715,0.56244,0.26342,0.84257,0.94463,0.90892,0.96286,0.84497,0.94468,0.90617,0.95853,0.80537,0.5358,0.84619,0.31364,0.88851,0.00937265,0.00937265,0.00937265
83,3050.12,0.40078,0.56519,0.26429,0.84477,0.94643,0.9071,0.96294,0.84507,0.94744,0.90416,0.95874,0.8047,0.53539,0.84581,0.31363,0.88919,0.00935741,0.00935741,0.00935741
84,3086.93,0.39895,0.56469,0.26436,0.84447,0.94708,0.90667,0.96299,0.84563,0.94791,0.90463,0.95873,0.80459,0.53504,0.84658,0.31116,0.88805,0.009342,0.009342,0.009342
85,3123.32,0.39375,0.55501,0.26151,0.84214,0.94652,0.90773,0.96322,0.84556,0.94725,0.9059,0.95935,0.80604,0.53428,0.84231,0.31042,0.88885,0.00932642,0.00932642,0.00932642
86,3159.76,0.39478,0.55826,0.2626,0.84317,0.94511,0.90961,0.96345,0.8459,0.94495,0.9078,0.95915,0.80626,0.53405,0.83889,0.31106,0.88823,0.00931067,0.00931067,0.00931067
87,3196.29,0.39634,0.56222,0.26069,0.84216,0.94591,0.90898,0.96394,0.84643,0.94583,0.90694,0.95983,0.80642,0.5331,0.83629,0.30995,0.88765,0.00929476,0.00929476,0.00929476
88,3232.84,0.39483,0.55903,0.26194,0.84263,0.94458,0.91107,0.96448,0.84702,0.94594,0.90788,0.96021,0.80657,0.53146,0.83796,0.3081,0.88613,0.00927867,0.00927867,0.00927867
89,3269.23,0.3926,0.5553,0.25969,0.8421,0.94825,0.90883,0.96429,0.84748,0.94899,0.90548,0.96051,0.80642,0.53101,0.83424,0.30767,0.88566,0.00926242,0.00926242,0.00926242
90,3305.67,0.39138,0.5536,0.25987,0.84151,0.94749,0.90771,0.96356,0.84664,0.94925,0.90387,0.95916,0.80545,0.53169,0.83984,0.30814,0.88465,0.00924601,0.00924601,0.00924601
91,3342.41,0.39321,0.5559,0.25957,0.84215,0.94626,0.90771,0.96354,0.84647,0.94594,0.90566,0.95948,0.80562,0.5314,0.83844,0.30829,0.88401,0.00922942,0.00922942,0.00922942
92,3378.89,0.38963,0.54877,0.25777,0.84114,0.94819,0.90714,0.96344,0.84674,0.94779,0.90572,0.9595,0.80602,0.5316,0.83806,0.30765,0.88493,0.00921268,0.00921268,0.00921268
93,3415.46,0.38837,0.54844,0.25736,0.84084,0.94732,0.90827,0.96371,0.84704,0.94838,0.9048,0.95956,0.80648,0.53122,0.83816,0.30734,0.88455,0.00919576,0.00919576,0.00919576
94,3452.19,0.38693,0.54543,0.25666,0.84045,0.94636,0.90966,0.96415,0.84738,0.94756,0.90457,0.95951,0.80675,0.53112,0.83742,0.30682,0.88414,0.00917869,0.00917869,0.00917869
95,3488.65,0.38751,0.54791,0.25583,0.84053,0.94745,0.90811,0.9641,0.8477,0.94811,0.90486,0.9599,0.80748,0.53071,0.83954,0.30617,0.88472,0.00916145,0.00916145,0.00916145
96,3525.34,0.38639,0.5472,0.25586,0.84014,0.94623,0.91088,0.96448,0.84766,0.94674,0.90752,0.96079,0.80862,0.53102,0.8386,0.30595,0.88622,0.00914405,0.00914405,0.00914405
97,3562.34,0.38532,0.54336,0.25551,0.84043,0.94677,0.91025,0.96462,0.84822,0.94672,0.90718,0.96061,0.80875,0.53053,0.83771,0.30486,0.88601,0.00912649,0.00912649,0.00912649
98,3599.19,0.38472,0.54694,0.2552,0.84041,0.94599,0.91023,0.96469,0.8483,0.94764,0.90602,0.96082,0.80929,0.53079,0.83467,0.30524,0.88738,0.00910876,0.00910876,0.00910876
